user_id,days_since_last_trip,trips_last_30d,monetary_total,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_combined_score,avg_trip_duration,avg_fare,avg_surge,tip_rate,peak_hour_rate,weekend_ratio,rainy_ride_ratio,preffered_payment_encoded,avg_driver_rating_received,session_last_30d,session_last_60d,avg_time_on_app,avg_pages_visited,session_conversation_rate,engagement_score,account_age_days,activity_trend_30d,unique_active_days,days_since_last_session,has_session
R00000,25,1,414.13,2,1,4,2,30.32,14.64,1.1,0.4,0.2,0.16,0.16,0,4.252,4.0,4.0,92.0,3.0,0.25,276.0,93,0.5,25,0.0,1
R00001,5,2,195.69,4,3,1,3,28.64,12.9,1.07,0.21,0.21,0.29,0.0,0,4.136,3.0,3.0,174.67,2.67,0.0,466.37,230,0.67,13,0.0,1
R00002,14,1,482.94,3,1,5,3,31.54,15.79,1.19,0.21,0.38,0.12,0.25,0,4.15,3.0,3.0,191.0,3.0,0.0,573.0,232,0.5,22,0.0,1
R00004,12,2,391.15,3,3,3,3,36.12,16.78,1.26,0.44,0.25,0.44,0.25,0,4.156,2.0,2.0,17.0,2.5,0.0,42.5,250,0.67,16,0.0,1
R00005,2,2,300.63,5,3,2,3,30.42,14.44,1.07,0.21,0.37,0.11,0.05,0,4.068,6.0,6.0,30.33,1.67,0.17,50.65,657,0.67,19,0.0,1
R00006,67,0,246.4,1,1,1,1,31.5,14.22,1.13,0.71,0.71,0.36,0.29,0,4.243,5.0,5.0,52.0,3.0,0.6,156.0,619,0.0,14,0.0,1
R00007,19,1,506.68,2,1,5,3,37.32,19.27,1.18,0.37,0.47,0.32,0.32,0,4.279,5.0,5.0,246.8,2.8,0.0,691.04,715,0.5,18,0.0,1
R00009,80,0,430.73,1,1,4,2,33.93,18.11,1.38,0.43,0.5,0.07,0.29,0,4.064,3.0,3.0,22.0,3.33,0.0,73.26,666,0.0,13,0.0,1
R00010,0,6,519.21,5,5,5,5,34.16,14.44,1.09,0.32,0.35,0.45,0.19,0,4.132,4.0,4.0,87.75,4.0,0.25,351.0,362,0.86,30,0.0,1
R00012,21,2,385.83,2,3,3,3,34.13,14.3,1.12,0.52,0.3,0.35,0.3,0,4.343,4.0,4.0,18.0,2.0,0.75,36.0,547,0.67,23,0.0,1
R00013,47,0,247.54,1,1,1,1,34.21,16.21,1.04,0.29,0.07,0.36,0.07,0,4.329,6.0,6.0,160.0,3.0,0.0,480.0,665,0.0,13,0.0,1
R00014,4,4,513.31,5,5,5,5,30.69,14.75,1.14,0.28,0.31,0.34,0.21,0,4.303,3.0,3.0,29.0,3.67,0.0,106.43,602,0.8,27,0.0,1
R00015,6,2,528.44,4,3,5,4,30.08,15.6,1.16,0.58,0.27,0.27,0.23,0,4.085,9.0,9.0,120.44,1.67,0.22,201.13,102,0.67,25,0.0,1
R00016,21,1,353.07,2,1,3,2,33.65,15.45,1.03,0.8,0.3,0.35,0.1,0,4.1,1.0,1.0,88.0,5.0,1.0,440.0,358,0.5,20,0.0,1
R00017,3,3,356.19,5,4,3,4,35.42,15.13,1.14,0.53,0.32,0.21,0.11,0,4.147,6.0,6.0,26.67,2.83,0.33,75.48,726,0.75,19,0.0,1
R00020,3,2,381.77,5,3,3,4,27.16,16.74,1.12,0.37,0.37,0.16,0.16,0,4.089,7.0,7.0,165.29,2.71,0.0,447.94,648,0.67,19,0.0,1
R00021,10,1,216.67,3,1,1,2,38.47,13.35,1.03,0.33,0.27,0.2,0.07,0,4.113,2.0,2.0,136.5,3.5,0.0,477.75,256,0.5,15,0.0,1
R00022,14,4,296.03,3,5,2,3,36.06,14.39,1.11,0.44,0.28,0.22,0.28,0,4.278,4.0,4.0,82.0,2.75,0.0,225.5,87,0.8,17,0.0,1
R00023,12,2,358.22,3,3,3,3,32.36,14.13,1.09,0.36,0.41,0.23,0.18,0,4.236,3.0,3.0,81.0,3.0,0.0,243.0,224,0.67,22,0.0,1
R00025,2,1,241.17,5,1,1,2,32.46,15.85,1.12,0.23,0.23,0.15,0.31,0,3.985,7.0,7.0,147.14,3.0,0.0,441.42,551,0.5,13,0.0,1
R00026,28,2,328.97,2,3,2,2,29.28,15.67,1.1,0.22,0.5,0.28,0.28,0,4.1,5.0,5.0,12.2,1.2,0.2,14.64,262,0.67,18,0.0,1
R00027,6,2,600.84,4,3,5,4,28.33,17.21,1.21,0.42,0.38,0.21,0.12,0,4.292,4.0,4.0,19.0,2.5,0.0,47.5,654,0.67,23,0.0,1
R00029,6,2,310.42,4,3,2,3,25.29,16.74,1.24,0.43,0.5,0.29,0.21,0,3.986,7.0,7.0,384.71,2.71,0.14,1042.56,489,0.67,14,0.0,1
R00030,19,1,261.09,2,1,1,1,34.62,14.63,1.09,0.38,0.56,0.56,0.12,0,3.912,4.0,4.0,351.25,3.0,0.25,1053.75,234,0.5,16,0.0,1
R00031,14,1,552.66,3,1,5,3,36.08,16.78,1.22,0.4,0.68,0.36,0.36,0,4.136,8.0,8.0,55.0,2.25,0.12,123.75,404,0.5,23,0.0,1
R00032,2,3,316.68,5,4,2,4,38.74,14.97,1.05,0.26,0.26,0.11,0.11,0,4.511,4.0,4.0,99.0,3.75,0.0,371.25,218,0.75,18,0.0,1
R00033,5,1,437.95,4,1,4,3,37.14,15.72,1.16,0.23,0.14,0.27,0.14,0,4.173,5.0,5.0,44.2,1.8,0.0,79.56,431,0.5,22,0.0,1
R00034,8,3,406.47,4,4,4,4,31.55,14.79,1.14,0.23,0.14,0.36,0.09,0,4.059,6.0,6.0,11.0,2.67,0.0,29.37,323,0.75,22,0.0,1
R00035,5,1,217.96,4,1,1,2,34.73,16.53,1.14,0.18,0.09,0.27,0.27,0,4.2,7.0,7.0,37.57,1.71,0.14,64.24,92,0.5,11,0.0,1
R00036,13,2,411.22,3,3,4,3,32.42,14.17,1.12,0.29,0.29,0.25,0.21,0,4.158,3.0,3.0,29.0,2.33,0.0,67.57,358,0.67,24,0.0,1
R00037,29,1,373.33,2,1,3,2,32.32,15.05,1.17,0.79,0.0,0.47,0.32,0,4.295,1.0,1.0,46.0,5.0,0.0,230.0,420,0.5,19,0.0,1
R00038,21,1,272.11,2,1,1,1,30.83,13.17,1.1,0.22,0.17,0.39,0.06,0,4.394,4.0,4.0,117.75,2.75,0.25,323.81,502,0.5,18,0.0,1
R00039,6,2,179.76,4,3,1,3,31.07,12.34,1.01,0.43,0.21,0.21,0.07,0,4.479,7.0,7.0,54.71,2.86,0.0,156.47,235,0.67,14,0.0,1
R00040,9,2,212.93,4,3,1,3,31.73,13.06,1.06,0.33,0.13,0.4,0.07,0,4.167,4.0,4.0,96.75,3.0,0.0,290.25,273,0.67,15,0.0,1
R00041,0,2,271.3,5,3,1,3,28.0,14.42,1.1,0.18,0.59,0.53,0.12,0,4.218,3.0,3.0,35.0,3.33,0.0,116.55,496,0.67,17,0.0,1
R00042,20,1,283.11,2,1,1,1,35.24,13.37,1.15,0.35,0.35,0.12,0.24,0,4.041,3.0,3.0,19.67,4.0,0.0,78.68,570,0.5,17,0.0,1
R00043,2,3,418.6,5,4,4,4,39.48,16.89,1.12,0.38,0.24,0.33,0.14,0,4.419,3.0,3.0,76.67,1.33,0.0,101.97,209,0.75,20,0.0,1
R00044,61,0,406.07,1,1,4,2,31.67,17.23,1.23,0.17,0.39,0.28,0.44,0,4.006,6.0,6.0,73.83,3.17,0.0,234.04,154,0.0,18,0.0,1
R00045,29,1,366.82,2,1,3,2,36.39,16.64,1.19,0.22,0.22,0.44,0.28,0,4.256,9.0,9.0,61.22,2.89,0.0,176.93,135,0.5,17,0.0,1
R00046,9,1,483.49,4,1,5,3,29.72,14.69,1.09,0.31,0.28,0.28,0.17,0,4.397,5.0,5.0,129.4,4.2,0.4,543.48,499,0.5,28,0.0,1
R00047,7,2,406.63,4,3,4,4,30.52,16.41,1.09,0.33,0.14,0.24,0.14,0,4.043,3.0,3.0,135.33,2.33,0.0,315.32,358,0.67,21,0.0,1
R00048,0,1,432.27,5,1,4,3,30.86,14.91,1.27,0.38,0.05,0.29,0.38,0,4.248,5.0,5.0,13.0,2.4,0.0,31.2,366,0.5,20,0.0,1
R00049,3,1,321.92,5,1,2,3,24.44,14.88,1.11,0.44,0.72,0.33,0.17,0,4.261,11.0,11.0,49.36,2.45,0.18,120.93,471,0.5,18,0.0,1
R00050,96,0,300.64,1,1,2,1,35.23,15.97,1.25,0.23,0.54,0.08,0.08,0,4.162,11.0,11.0,88.27,3.18,0.0,280.7,516,0.0,12,0.0,1
R00051,16,2,359.58,3,3,3,3,31.41,13.78,1.1,0.32,0.32,0.09,0.14,0,3.918,8.0,8.0,121.38,3.0,0.12,364.14,359,0.67,22,0.0,1
R00052,23,1,439.22,2,1,4,2,23.77,15.66,1.19,0.36,0.27,0.27,0.32,0,4.223,3.0,3.0,125.67,3.67,0.33,461.21,485,0.5,21,0.0,1
R00053,2,2,321.62,5,3,2,3,33.16,14.94,1.08,0.32,0.05,0.26,0.21,0,3.826,1.0,1.0,53.0,5.0,1.0,265.0,480,0.67,19,0.0,1
R00054,4,2,280.87,5,3,1,3,26.47,16.61,1.07,0.33,0.27,0.27,0.07,0,4.193,4.0,4.0,49.5,3.5,0.5,173.25,415,0.67,15,0.0,1
R00055,10,2,378.25,3,3,3,3,32.06,17.18,1.13,0.28,0.61,0.28,0.33,0,4.106,2.0,2.0,2.5,2.5,0.0,6.25,205,0.67,18,0.0,1
R00056,40,0,397.63,1,1,3,2,30.09,15.16,1.11,0.26,0.26,0.22,0.3,0,4.178,2.0,2.0,65.0,3.5,0.0,227.5,455,0.0,23,0.0,1
